cliente_id;regiao;canal_aquisicao;data_cadastro
240;Nordeste;Organico;2025-12-16
241;Sudeste;Organico;2025-05-19
242;Sul;Marketing Pago;2025-02-05
243;Norte;Organico;2025-12-03
244;Sudeste;Organico;2025-12-17
245;Sudeste;Redes Sociais;2024-09-24
246;Sudeste;Indicacao;2025-06-08
247;Sudeste;Organico;2026-02-23
248;Nordeste;Redes Sociais;2026-04-26
249;Sudeste;Marketing Pago;2025-11-05
250;Centro-Oeste;Organico;2026-03-26
251;Norte;Marketing Pago;2026-04-28
252;Sudeste;Email Marketing;2024-11-10
253;Centro-Oeste;Organico;2025-03-05
254;Sudeste;Organico;2025-04-03
255;Sudeste;Organico;2024-08-03
256;Sudeste;Redes Sociais;2025-11-25
257;Sudeste;Organico;2026-07-25
258;Sudeste;Indicacao;2024-10-12
259;Nordeste;Email Marketing;2026-05-03
260;Sul;Indicacao;2025-02-19
261;Sudeste;Marketing Pago;2026-05-26
262;Sudeste;Organico;2024-12-24
263;Sudeste;Organico;2025-06-11
264;Sul;Indicacao;2025-05-23
265;Sudeste;Marketing Pago;2025-06-08
266;Nordeste;Email Marketing;2025-12-26
267;Sul;Marketing Pago;2026-04-05
268;Sudeste;Marketing Pago;2025-06-27
269;Sul;Organico;2025-03-23
270;Norte;Indicacao;2026-03-13
271;Sul;Organico;2026-06-20
272;Nordeste;Redes Sociais;2025-01-27
273;Sul;Redes Sociais;2025-05-12
274;Sudeste;Redes Sociais;2026-05-13
275;Nordeste;Email Marketing;2025-11-25
276;Sudeste;Marketing Pago;2026-06-18
277;Sudeste;Organico;2025-09-26
278;Nordeste;Organico;2025-09-15
279;Nordeste;Redes Sociais;2025-11-09
280;Sudeste;Organico;2024-11-27
281;Norte;Marketing Pago;2026-01-09
282;Nordeste;Organico;2026-02-07
283;Sul;Organico;2026-01-13
284;Sudeste;Indicacao;2026-05-03
285;Sudeste;Organico;2025-05-01
286;Sul;Email Marketing;2025-10-23
287;Centro-Oeste;Marketing Pago;2024-08-30
288;Norte;Redes Sociais;2025-04-03
289;Nordeste;Marketing Pago;2024-08-15
290;Sul;Organico;2024-11-25
291;Sul;Organico;2025-01-05
292;Sul;Redes Sociais;2026-01-04
293;Nordeste;Marketing Pago;2025-12-08
294;Norte;Organico;2026-02-16
295;Sudeste;Organico;2026-04-06
296;Sul;Indicacao;2024-10-11
297;Sudeste;Indicacao;2025-09-29
298;Sudeste;Indicacao;2025-05-01
299;Nordeste;Organico;2025-06-02
300;Nordeste;Redes Sociais;2026-06-07
301;Sul;Organico;2026-02-03
302;Sul;Marketing Pago;2026-02-08
303;Sudeste;Email Marketing;2025-02-10
304;Norte;Organico;2025-08-28
305;Sudeste;Indicacao;2024-09-14
306;Sudeste;Marketing Pago;2025-08-26
307;Sudeste;Redes Sociais;2026-05-30
308;Norte;Marketing Pago;2024-09-07
309;Sudeste;Email Marketing;2025-07-06
310;Centro-Oeste;Indicacao;2025-10-25
311;Sudeste;Email Marketing;2024-08-16
312;Nordeste;Marketing Pago;2026-06-02
313;Norte;Organico;2025-04-29
314;Sudeste;Redes Sociais;2026-05-28
315;Sudeste;Marketing Pago;2026-06-22
316;Centro-Oeste;Marketing Pago;2025-06-21
317;Sul;Indicacao;2025-12-13
318;Centro-Oeste;Organico;2024-10-10
319;Sudeste;Redes Sociais;2025-05-22
320;Norte;Redes Sociais;2025-10-19
321;Norte;Indicacao;2026-07-22
322;Centro-Oeste;Marketing Pago;2026-07-12
323;Sudeste;Organico;2025-06-29
324;Nordeste;Organico;2025-08-19
325;Sudeste;Organico;2025-09-26
326;Sul;Indicacao;2025-01-22
327;Sudeste;Redes Sociais;2025-08-27
328;Sul;Organico;2026-03-21
329;Sudeste;Marketing Pago;2025-04-18
330;Sul;Redes Sociais;2025-11-20
331;Centro-Oeste;Redes Sociais;2025-01-09
332;Sudeste;Email Marketing;2026-03-25
333;Sudeste;Email Marketing;2026-07-08
334;Sudeste;Indicacao;2025-02-20
335;Norte;Indicacao;2024-11-18
336;Sudeste;Redes Sociais;2026-03-12
337;Sudeste;Redes Sociais;2024-08-23
338;Norte;Redes Sociais;2025-05-09
339;Sudeste;Indicacao;2024-09-20
340;Centro-Oeste;Redes Sociais;2025-05-21
341;Nordeste;Organico;2025-07-27
342;Sudeste;Organico;2025-04-14
343;Nordeste;Redes Sociais;2026-06-07
344;Nordeste;Organico;2024-11-08
345;Centro-Oeste;Redes Sociais;2025-06-13
346;Nordeste;Organico;2025-08-09
347;Nordeste;Organico;2025-05-30
348;Sudeste;Marketing Pago;2025-02-22
349;Sudeste;Marketing Pago;2025-08-10
350;Sul;Email Marketing;2025-01-16
351;Sudeste;Indicacao;2025-12-07
352;Norte;Organico;2025-07-13
353;Nordeste;Marketing Pago;2024-10-17
354;Sudeste;Email Marketing;2026-06-24
355;Nordeste;Email Marketing;2026-02-22
356;Sudeste;Indicacao;2024-08-15
357;Sudeste;Organico;2025-08-13
358;Nordeste;Redes Sociais;2026-03-22
359;Sudeste;Redes Sociais;2025-08-16
360;Sudeste;Organico;2024-08-26
361;Sul;Email Marketing;2025-07-02
362;Centro-Oeste;Organico;2024-10-04
363;Sul;Marketing Pago;2026-07-19
364;Sudeste;Marketing Pago;2024-12-22
365;Sudeste;Organico;2025-12-18
366;Sudeste;Organico;2026-02-02
367;Sudeste;Marketing Pago;2026-06-18
368;Centro-Oeste;Redes Sociais;2026-02-05
369;Sudeste;Redes Sociais;2025-01-06
370;Centro-Oeste;Redes Sociais;2025-12-15
371;Sul;Email Marketing;2025-05-14
372;Sudeste;Marketing Pago;2025-10-29
373;Sudeste;Organico;2025-08-07
374;Sudeste;Redes Sociais;2026-02-09
375;Centro-Oeste;Redes Sociais;2024-10-02
376;Sudeste;Organico;2024-12-04
377;Centro-Oeste;Indicacao;2024-11-02
378;Nordeste;Redes Sociais;2026-04-04
379;Norte;Organico;2025-07-08
380;Sudeste;Organico;2026-03-02
381;Sudeste;Indicacao;2026-02-19
382;Sudeste;Organico;2025-03-27
383;Sudeste;Organico;2026-04-03
384;Sudeste;Indicacao;2024-12-27
385;Norte;Marketing Pago;2025-01-26
386;Sudeste;Indicacao;2024-12-13
387;Sudeste;Indicacao;2025-04-01
388;Sul;Organico;2025-04-29
389;Sudeste;Redes Sociais;2026-01-21
390;Sudeste;Organico;2025-11-03
391;Nordeste;Marketing Pago;2024-11-20
392;Sul;Organico;2026-04-22
393;Sudeste;Indicacao;2026-06-06
394;Sul;Marketing Pago;2024-09-01
395;Sudeste;Marketing Pago;2025-09-16
396;Sudeste;Organico;2026-07-31
397;Centro-Oeste;Organico;2024-10-22
398;Sudeste;Organico;2024-12-08
399;Sudeste;Redes Sociais;2026-02-13
400;Nordeste;Marketing Pago;2026-04-04
401;Sul;Marketing Pago;2026-04-12
402;Sudeste;Indicacao;2024-11-26
403;Centro-Oeste;Redes Sociais;2026-02-16
404;Nordeste;Organico;2025-11-06
405;Centro-Oeste;Marketing Pago;2025-11-08
406;Sudeste;Redes Sociais;2025-06-17
407;Sudeste;Redes Sociais;2025-08-19
408;Norte;Redes Sociais;2025-11-29
409;Sudeste;Indicacao;2024-11-04
410;Sudeste;Redes Sociais;2025-08-17
411;Nordeste;Redes Sociais;2026-03-24
412;Norte;Redes Sociais;2026-06-18
413;Sudeste;Marketing Pago;2026-06-13
414;Centro-Oeste;Marketing Pago;2024-09-22
415;Norte;Redes Sociais;2025-07-27
416;Sudeste;Marketing Pago;2025-01-06
417;Nordeste;Organico;2024-11-19
418;Sudeste;Redes Sociais;2024-11-26
419;Nordeste;Redes Sociais;2025-10-14
420;Nordeste;Email Marketing;2026-04-29
421;Sul;Redes Sociais;2024-08-27
422;Sul;Redes Sociais;2026-07-12
423;Sudeste;Organico;2026-07-21
424;Nordeste;Email Marketing;2025-07-26
425;Sudeste;Indicacao;2026-03-03
426;Nordeste;Organico;2026-05-11
427;Norte;Organico;2026-01-26
428;Sudeste;Marketing Pago;2025-07-16
429;Sudeste;Marketing Pago;2025-06-29
430;Nordeste;Redes Sociais;2024-10-26
431;Centro-Oeste;Organico;2026-04-25
432;Sudeste;Organico;2025-10-28
433;Nordeste;Marketing Pago;2025-10-27
434;Sudeste;Organico;2026-01-07
435;Sudeste;Marketing Pago;2025-05-18
436;Nordeste;Redes Sociais;2026-01-22
437;Nordeste;Organico;2025-09-09
438;Norte;Organico;2025-02-26
439;Sudeste;Organico;2024-12-19
440;Nordeste;Organico;2024-12-01
441;Sudeste;Redes Sociais;2025-01-27
442;Sudeste;Marketing Pago;2025-03-24
443;Sul;Indicacao;2025-07-29
444;Sudeste;Indicacao;2024-09-13
445;Sudeste;Marketing Pago;2024-10-19
446;Centro-Oeste;Redes Sociais;2026-03-11
447;Sudeste;Redes Sociais;2025-05-24
448;Sudeste;Organico;2025-06-29
449;Sudeste;Email Marketing;2025-11-15
450;Nordeste;Email Marketing;2024-10-30
451;Sudeste;Organico;2025-10-21
452;Sul;Marketing Pago;2025-09-10
453;Centro-Oeste;Redes Sociais;2025-03-15
454;Sudeste;Organico;2026-01-05
455;Sul;Marketing Pago;2025-02-15
456;Centro-Oeste;Marketing Pago;2026-05-23
457;Nordeste;Organico;2024-12-28
458;Sudeste;Organico;2025-01-04
459;Nordeste;Redes Sociais;2025-01-29
460;Norte;Redes Sociais;2025-11-19
461;Nordeste;Indicacao;2025-11-03
462;Nordeste;Indicacao;2026-05-21
463;Sul;Redes Sociais;2026-05-05
464;Sudeste;Marketing Pago;2025-11-24
465;Sudeste;Marketing Pago;2025-05-09
466;Sul;Marketing Pago;2024-10-15
467;Sudeste;Marketing Pago;2024-09-28
468;Sudeste;Organico;2026-05-23
469;Centro-Oeste;Indicacao;2026-04-22
470;Sul;Marketing Pago;2026-03-18
471;Sul;Indicacao;2024-09-12
472;Sudeste;Indicacao;2026-05-30
473;Sudeste;Redes Sociais;2025-12-27
474;Sudeste;Organico;2024-11-14
475;Nordeste;Indicacao;2024-10-26
476;Sul;Organico;2025-04-11
477;Nordeste;Email Marketing;2026-01-19
478;Sul;Organico;2025-08-17
479;Centro-Oeste;Marketing Pago;2025-07-13
480;Nordeste;Organico;2026-05-09
481;Sul;Organico;2024-11-05
482;Sul;Marketing Pago;2025-04-16
483;Nordeste;Redes Sociais;2026-04-10
484;Centro-Oeste;Marketing Pago;2026-03-20
485;Nordeste;Email Marketing;2025-06-14
486;Norte;Redes Sociais;2025-09-06
487;Sudeste;Redes Sociais;2024-10-26
488;Sudeste;Marketing Pago;2025-07-03
489;Nordeste;Redes Sociais;2026-07-03
490;Centro-Oeste;Organico;2026-06-18
491;Sudeste;Marketing Pago;2025-08-07
492;Sudeste;Email Marketing;2025-07-16
493;Centro-Oeste;Marketing Pago;2025-03-20
494;Norte;Organico;2025-05-30
495;Nordeste;Organico;2026-02-04
496;Nordeste;Indicacao;2024-09-08
497;Nordeste;Indicacao;2026-04-25
498;Sudeste;Marketing Pago;2025-01-14
499;Sudeste;Redes Sociais;2026-05-02
500;Nordeste;Organico;2025-10-23
501;Sudeste;Marketing Pago;2025-04-01
502;Norte;Redes Sociais;2025-11-03
503;Sudeste;Organico;2025-11-24
504;Centro-Oeste;Organico;2026-06-26
505;Centro-Oeste;Email Marketing;2025-11-16
506;Nordeste;Indicacao;2025-12-28
507;Sul;Email Marketing;2025-02-21
508;Nordeste;Organico;2025-04-14
509;Sudeste;Marketing Pago;2025-08-16
510;Sul;Organico;2026-01-11
511;Centro-Oeste;Organico;2025-01-12
512;Sudeste;Email Marketing;2024-12-29
513;Nordeste;Organico;2025-03-16
514;Nordeste;Indicacao;2024-08-28
515;Sudeste;Marketing Pago;2025-08-18
516;Sudeste;Email Marketing;2025-08-19
517;Sudeste;Marketing Pago;2024-11-10
518;Nordeste;Redes Sociais;2024-12-28
519;Sudeste;Organico;2025-11-27
520;Nordeste;Organico;2026-07-24
521;Sul;Redes Sociais;2024-10-21
522;Sudeste;Organico;2025-01-01
523;Sul;Redes Sociais;2026-01-23
524;Sudeste;Indicacao;2025-04-01
525;Sudeste;Organico;2025-10-04
526;Sul;Redes Sociais;2024-10-04
527;Sudeste;Email Marketing;2026-04-04
528;Sul;Redes Sociais;2026-03-12
529;Sudeste;Organico;2025-10-14
530;Sudeste;Marketing Pago;2026-03-08
531;Sudeste;Redes Sociais;2024-10-27
532;Sul;Marketing Pago;2026-01-21
533;Sul;Indicacao;2026-01-02
534;Sul;Marketing Pago;2025-11-25
535;Sudeste;Marketing Pago;2025-08-18
536;Sudeste;Organico;2024-10-09
537;Sudeste;Redes Sociais;2026-05-06
538;Sudeste;Redes Sociais;2025-07-07
539;Sudeste;Marketing Pago;2025-07-13
540;Nordeste;Organico;2026-07-03
541;Sul;Redes Sociais;2026-05-09
542;Sudeste;Organico;2025-11-12
543;Sudeste;Organico;2025-02-21
544;Centro-Oeste;Marketing Pago;2025-06-14
545;Sul;Email Marketing;2026-02-08
546;Sul;Organico;2026-05-25
547;Sudeste;Marketing Pago;2024-09-18
548;Centro-Oeste;Marketing Pago;2024-12-06
549;Nordeste;Marketing Pago;2025-09-14
550;Nordeste;Indicacao;2025-08-31
551;Sudeste;Organico;2026-07-10
552;Sul;Email Marketing;2026-01-14
553;Sudeste;Organico;2025-10-09
554;Sudeste;Redes Sociais;2025-02-01
555;Sul;Marketing Pago;2024-10-21
556;Sudeste;Organico;2025-10-31
557;Sul;Marketing Pago;2026-07-08
558;Sudeste;Marketing Pago;2025-07-28
559;Sul;Marketing Pago;2026-05-17
560;Norte;Email Marketing;2024-10-16
561;Nordeste;Marketing Pago;2026-01-08
562;Nordeste;Redes Sociais;2024-09-01
563;Sudeste;Redes Sociais;2025-10-23
564;Sudeste;Organico;2026-05-23
565;Sudeste;Marketing Pago;2026-03-04
566;Sudeste;Organico;2025-11-04
567;Centro-Oeste;Marketing Pago;2024-10-18
568;Sul;Marketing Pago;2025-09-12
569;Sudeste;Organico;2024-11-25
570;Sudeste;Organico;2026-01-13
571;Sudeste;Redes Sociais;2025-04-26
572;Nordeste;Redes Sociais;2025-03-08
573;Norte;Organico;2025-12-16
574;Sudeste;Organico;2024-10-15
575;Sul;Indicacao;2025-10-30
576;Norte;Indicacao;2025-06-24
577;Nordeste;Redes Sociais;2026-02-15
578;Sul;Indicacao;2025-01-09
579;Nordeste;Email Marketing;2026-05-16
580;Sudeste;Marketing Pago;2025-03-18
581;Sudeste;Organico;2024-12-21
582;Sudeste;Marketing Pago;2025-08-05
583;Sul;Marketing Pago;2026-02-16
584;Sudeste;Indicacao;2024-10-07
585;Sudeste;Email Marketing;2025-12-04
586;Sul;Indicacao;2026-03-12
587;Sudeste;Email Marketing;2026-05-20
588;Sudeste;Marketing Pago;2026-01-12
589;Sudeste;Indicacao;2026-02-16
590;Sul;Organico;2024-12-11
591;Sudeste;Email Marketing;2024-09-26
592;Nordeste;Marketing Pago;2025-06-08
593;Sudeste;Marketing Pago;2026-07-28
594;Sudeste;Email Marketing;2026-01-14
595;Centro-Oeste;Indicacao;2025-04-14
596;Sudeste;Email Marketing;2025-05-09
597;Sudeste;Marketing Pago;2026-01-29
598;Sudeste;Redes Sociais;2026-03-30
599;Centro-Oeste;Organico;2026-06-06
600;Sul;Email Marketing;2025-07-12
601;Nordeste;Redes Sociais;2024-08-30
602;Sudeste;Email Marketing;2026-03-14
603;Sudeste;Organico;2026-03-09
604;Sudeste;Redes Sociais;2025-12-23
605;Centro-Oeste;Marketing Pago;2026-05-20
606;Norte;Marketing Pago;2026-07-03
607;Sudeste;Marketing Pago;2026-07-07
608;Sudeste;Marketing Pago;2025-12-09
609;Sul;Marketing Pago;2024-12-26
610;Sudeste;Redes Sociais;2025-07-20
611;Norte;Organico;2025-08-15
612;Sul;Organico;2025-04-05
613;Sul;Organico;2025-04-11
614;Sudeste;Organico;2025-08-29
615;Centro-Oeste;Marketing Pago;2025-01-11
616;Nordeste;Email Marketing;2025-06-17
617;Sudeste;Organico;2026-01-10
618;Sul;Indicacao;2025-12-23
619;Sudeste;Email Marketing;2025-12-31
620;Sul;Organico;2026-03-21
621;Sudeste;Organico;2025-12-20
622;Sul;Indicacao;2026-06-20
623;Sul;Marketing Pago;2024-11-19
624;Sudeste;Indicacao;2025-08-10
625;Nordeste;Marketing Pago;2025-09-15
626;Sudeste;Redes Sociais;2025-08-07
627;Sul;Organico;2025-12-30
628;Sul;Marketing Pago;2026-05-01
629;Nordeste;Organico;2024-11-08
630;Sudeste;Indicacao;2025-07-14
631;Sul;Marketing Pago;2024-12-26
632;Sudeste;Marketing Pago;2025-12-26
633;Sudeste;Organico;2025-07-08
634;Nordeste;Marketing Pago;2024-12-31
635;Sul;Marketing Pago;2025-07-02
636;Centro-Oeste;Marketing Pago;2025-09-07
637;Norte;Redes Sociais;2025-06-03
638;Sul;Marketing Pago;2026-01-04
639;Sul;Redes Sociais;2025-06-03
640;Sul;Organico;2025-07-06
641;Nordeste;Email Marketing;2026-03-21
642;Sudeste;Indicacao;2026-07-06
643;Sul;Redes Sociais;2025-04-29
644;Norte;Indicacao;2026-03-16
645;Sul;Redes Sociais;2026-03-21
646;Sul;Marketing Pago;2026-04-27
647;Nordeste;Marketing Pago;2026-06-29
648;Sudeste;Redes Sociais;2026-07-19
649;Sudeste;Organico;2025-06-18
650;Sudeste;Marketing Pago;2025-02-25
651;Sudeste;Indicacao;2025-11-26
652;Centro-Oeste;Redes Sociais;2024-10-03
653;Nordeste;Marketing Pago;2026-02-26
654;Sudeste;Redes Sociais;2026-01-21
655;Sudeste;Email Marketing;2025-11-14
656;Centro-Oeste;Marketing Pago;2025-07-29
657;Nordeste;Indicacao;2026-06-29
