pedido_id;cliente_id;data_pedido;forma_pagamento;status_entrega;valor_total
95;1431;2024-08-04;Pix;Entregue;238.48
96;1237;2025-04-12;Cartao de Credito;Entregue;201.94
97;1441;2024-08-18;Pix;Em Transito;203.04
98;1282;2025-05-28;Pix;Entregue com Atraso;189.75
99;983;2025-11-22;Cartao de Credito;Entregue;41.5
100;316;2026-06-07;Pix;Entregue;450.11
101;1412;2025-07-07;Boleto;Em Transito;204.81
102;1731;2025-10-22;Boleto;Entregue;47.45
103;1073;2025-02-09;Pix;Entregue;83.15
104;1287;2025-06-15;Cartao de Credito;Entregue;86.46
105;723;2026-02-03;Boleto;Entregue;124.13
106;1243;2026-04-06;Cartao de Credito;Entregue;78.55
107;1245;2025-08-21;Cartao de Credito;Entregue com Atraso;139.23
108;1438;2026-07-19;Pix;Em Transito;440.28
109;618;2026-06-26;Pix;Entregue;65.67
110;1231;2025-02-16;Pix;Entregue;34.73
111;1428;2026-07-28;Cartao de Credito;Entregue;74.83
112;367;2026-05-29;Cartao de Credito;Entregue com Atraso;143.34
113;1502;2024-09-27;Cartao de Credito;Cancelado;35.02
114;621;2025-10-19;Cartao de Debito;Entregue;38.13
115;567;2026-04-03;Cartao de Debito;Entregue;59.17
116;165;2025-11-18;Boleto;Entregue;25.67
117;216;2024-12-03;Pix;Entregue;111.62
118;1409;2025-02-02;Cartao de Credito;Cancelado;79.61
119;966;2025-09-20;Boleto;Entregue;62.47
120;1264;2026-05-30;Cartao de Credito;Entregue com Atraso;323.95
121;154;2024-12-06;Pix;Entregue;139.5
122;1377;2026-06-06;Pix;Entregue;59.24
123;1229;2026-06-10;Boleto;Entregue;73.26
124;240;2026-02-17;Cartao de Credito;Entregue;42.06
125;482;2026-05-28;Cartao de Debito;Entregue;35.04
126;263;2025-02-25;Cartao de Credito;Entregue com Atraso;696.31
127;496;2026-01-27;Cartao de Credito;Entregue;15.99
128;1363;2024-12-28;Boleto;Entregue;280.65
129;1709;2024-12-05;Cartao de Credito;Entregue com Atraso;69.12
130;633;2026-03-09;Boleto;Entregue;53.22
131;1298;2026-01-27;Pix;Em Transito;36.72
132;922;2025-01-07;Pix;Entregue;97.05
133;1212;2025-10-03;Pix;Entregue;329.38
134;1143;2024-10-18;Pix;Cancelado;15.0
135;1670;2024-08-11;Cartao de Debito;Entregue;210.43
136;1233;2025-09-20;Cartao de Credito;Entregue;199.98
137;1577;2026-01-23;Pix;Entregue;15.9
138;945;2025-03-19;Cartao de Credito;Entregue;489.72
139;687;2025-08-18;Cartao de Debito;Entregue;362.46
140;489;2024-08-03;Pix;Entregue;24.0
141;928;2024-09-06;Cartao de Debito;Em Transito;220.88
142;643;2024-11-12;Pix;Entregue;135.6
143;462;2025-11-25;Cartao de Credito;Entregue;219.58
144;1776;2026-06-04;Boleto;Entregue;20.27
145;1257;2024-11-22;Cartao de Credito;Entregue;161.23
146;1200;2025-12-04;Cartao de Debito;Cancelado;81.98
147;1266;2025-06-29;Boleto;Entregue com Atraso;27.0
148;708;2024-11-21;Cartao de Debito;Entregue com Atraso;140.65
149;436;2026-06-26;Boleto;Entregue;42.87
150;1109;2026-01-06;Cartao de Credito;Entregue;63.99
151;1458;2025-02-20;Pix;Entregue com Atraso;97.26
152;1786;2026-03-29;Pix;Entregue;20.7
153;1670;2025-10-11;Cartao de Credito;Entregue;320.72
154;1161;2025-06-08;Cartao de Credito;Entregue;394.04
155;801;2025-04-16;Cartao de Debito;Entregue;31.39
156;1345;2024-12-12;Cartao de Credito;Entregue com Atraso;86.35
157;440;2025-05-10;Cartao de Credito;Entregue;332.24
158;978;2025-07-18;Cartao de Credito;Entregue;140.74
159;1633;2025-07-22;Boleto;Entregue;141.53
160;37;2026-04-06;Cartao de Credito;Cancelado;12.0
161;359;2025-09-12;Pix;Entregue;84.38
162;1095;2025-02-28;Cartao de Credito;Entregue;41.34
163;921;2025-12-29;Pix;Entregue;15.0
164;223;2025-03-18;Cartao de Credito;Entregue;186.36
165;239;2024-09-22;Pix;Entregue;147.39
166;488;2024-12-15;Pix;Entregue;15.0
167;647;2025-05-14;Cartao de Credito;Cancelado;129.1
168;1695;2025-04-21;Boleto;Entregue;96.42
169;1318;2025-01-07;Pix;Entregue com Atraso;124.24
170;339;2025-02-06;Boleto;Entregue;316.84
171;721;2026-04-15;Cartao de Credito;Entregue;31.84
172;185;2026-01-22;Cartao de Credito;Entregue com Atraso;33.04
173;1468;2026-05-22;Cartao de Debito;Entregue;103.28
174;1523;2024-10-27;Cartao de Credito;Entregue;100.07
175;1229;2026-05-05;Pix;Entregue;222.92
176;1490;2024-12-24;Cartao de Credito;Entregue;46.32
177;413;2026-07-02;Cartao de Credito;Em Transito;364.85
178;656;2024-10-26;Boleto;Entregue;160.88
179;787;2026-06-15;Pix;Entregue;53.86
180;1189;2025-04-29;Boleto;Entregue com Atraso;34.11
181;1363;2024-12-29;Cartao de Credito;Entregue;76.31
182;263;2025-06-27;Cartao de Debito;Entregue;22.53
183;1743;2026-04-09;Boleto;Entregue;119.24
184;152;2025-10-06;Pix;Entregue com Atraso;198.88
185;1657;2024-10-01;Cartao de Debito;Entregue;281.31
186;1469;2024-09-27;Pix;Entregue;152.56
187;194;2026-03-19;Cartao de Credito;Entregue com Atraso;103.71
188;838;2024-12-22;Pix;Entregue;70.97
189;1163;2024-08-14;Cartao de Credito;Entregue;274.07
190;903;2026-07-28;Cartao de Credito;Em Transito;37.96
191;226;2025-03-05;Pix;Entregue;32.83
192;1502;2026-07-11;Pix;Entregue;124.65
193;197;2024-10-19;Cartao de Credito;Entregue com Atraso;67.64
194;122;2026-04-04;Cartao de Credito;Em Transito;38.24
195;496;2026-03-07;Pix;Entregue;228.01
196;581;2025-09-05;Pix;Cancelado;130.56
197;269;2026-03-25;Boleto;Entregue;179.83
198;1431;2026-06-01;Cartao de Credito;Entregue com Atraso;358.26
199;442;2026-04-18;Pix;Cancelado;96.08
200;1735;2024-10-29;Pix;Entregue;55.68
201;662;2024-10-31;Cartao de Credito;Entregue com Atraso;192.53
202;1740;2025-12-13;Cartao de Credito;Entregue com Atraso;78.99
203;817;2026-01-07;Boleto;Cancelado;45.63
204;1569;2026-06-30;Cartao de Credito;Cancelado;21.19
205;17;2024-11-16;Cartao de Credito;Entregue;55.82
206;1202;2025-07-24;Pix;Entregue;711.25
207;867;2026-07-21;Pix;Entregue;723.93
208;1773;2025-08-25;Cartao de Credito;Entregue com Atraso;167.71
209;260;2025-05-08;Pix;Entregue;41.59
210;172;2025-10-13;Cartao de Credito;Entregue com Atraso;468.84
211;966;2025-01-12;Cartao de Debito;Entregue;138.59
212;1283;2025-06-21;Cartao de Credito;Em Transito;173.05
213;1151;2026-03-16;Cartao de Credito;Entregue;366.96
214;1457;2024-12-06;Pix;Entregue;217.89
215;208;2025-01-28;Pix;Entregue;247.46
216;1141;2026-07-20;Pix;Em Transito;109.54
217;1668;2024-11-11;Pix;Entregue;153.83
218;226;2025-11-19;Pix;Entregue com Atraso;202.19
219;1574;2025-04-28;Cartao de Credito;Em Transito;254.93
220;316;2026-03-09;Cartao de Debito;Entregue;544.54
221;1257;2024-12-08;Pix;Entregue;189.14
222;22;2026-03-31;Cartao de Credito;Entregue;149.12
223;1135;2025-08-02;Cartao de Credito;Entregue;33.59
224;1368;2025-08-23;Boleto;Entregue;42.15
225;1768;2024-11-14;Cartao de Credito;Em Transito;52.8
226;172;2025-12-20;Boleto;Em Transito;33.04
227;133;2026-05-03;Cartao de Credito;Entregue;22.53
228;295;2025-06-02;Cartao de Credito;Entregue;295.88
229;1107;2026-02-11;Cartao de Credito;Entregue;37.34
230;40;2026-01-07;Boleto;Entregue;98.05
231;402;2026-07-10;Cartao de Debito;Entregue;185.73
232;808;2025-09-14;Cartao de Debito;Entregue;30.0
233;718;2026-03-21;Boleto;Entregue;233.85
234;1584;2025-10-08;Pix;Entregue;193.43
235;1028;2025-08-18;Boleto;Entregue com Atraso;51.73
236;1062;2025-05-28;Pix;Em Transito;494.11
237;581;2024-08-10;Cartao de Credito;Entregue;94.95
238;428;2024-10-07;Cartao de Credito;Entregue;425.97
239;136;2026-05-24;Pix;Entregue com Atraso;22.53
240;884;2024-09-17;Cartao de Debito;Entregue;17.77
241;435;2024-08-22;Cartao de Credito;Entregue;268.57
242;1163;2024-10-11;Pix;Entregue com Atraso;32.97
243;734;2026-02-21;Boleto;Entregue;36.63
244;1514;2024-12-03;Boleto;Em Transito;15.0
245;192;2025-06-27;Boleto;Entregue com Atraso;40.33
246;666;2026-02-02;Cartao de Debito;Em Transito;92.05
247;688;2026-07-17;Cartao de Credito;Entregue;90.09
248;765;2025-11-01;Pix;Entregue;28.73
249;601;2025-12-08;Cartao de Credito;Entregue;96.04
250;447;2026-05-25;Pix;Entregue;15.0
251;393;2025-08-30;Cartao de Credito;Entregue;73.44
252;580;2025-06-16;Pix;Entregue;336.31
253;354;2025-05-12;Pix;Entregue;494.91
254;637;2024-11-30;Cartao de Debito;Entregue;58.07
255;618;2025-10-26;Cartao de Credito;Entregue;187.2
256;955;2025-12-19;Pix;Entregue;151.98
257;92;2024-09-06;Pix;Entregue;107.24
258;402;2026-07-10;Cartao de Credito;Entregue;222.57
259;1294;2026-07-06;Cartao de Credito;Entregue;219.58
260;1728;2026-06-14;Pix;Entregue;42.66
261;1327;2024-08-10;Pix;Cancelado;119.59
262;1780;2025-03-22;Pix;Entregue;29.74
263;618;2025-12-16;Pix;Cancelado;91.09
264;1469;2025-06-05;Pix;Em Transito;307.45
265;761;2025-03-14;Pix;Entregue;85.89
266;367;2025-08-22;Pix;Cancelado;684.63
267;615;2026-03-27;Pix;Cancelado;62.58
268;1486;2024-12-04;Pix;Entregue;291.27
269;30;2024-09-11;Cartao de Credito;Entregue com Atraso;91.09
270;1186;2024-08-01;Cartao de Credito;Entregue;141.4
271;370;2026-03-23;Cartao de Debito;Entregue;37.94
272;1150;2025-10-07;Cartao de Credito;Em Transito;137.34
273;377;2025-06-09;Cartao de Credito;Entregue;409.06
274;819;2025-06-17;Pix;Entregue;163.24
275;761;2024-08-29;Cartao de Debito;Entregue;106.83
276;1024;2025-05-28;Cartao de Credito;Entregue com Atraso;13.5
277;1563;2025-11-15;Boleto;Entregue;24.39
278;1460;2026-03-03;Pix;Entregue;48.91
279;1266;2026-07-20;Cartao de Credito;Entregue;83.41
280;1429;2026-05-01;Pix;Entregue;116.08
281;456;2024-11-15;Pix;Entregue com Atraso;30.0
282;862;2025-02-05;Boleto;Entregue com Atraso;152.46
283;1147;2025-02-06;Cartao de Credito;Entregue com Atraso;58.63
284;842;2025-05-24;Cartao de Credito;Entregue;62.73
285;1442;2024-12-30;Cartao de Credito;Entregue;91.96
286;77;2025-07-30;Cartao de Debito;Entregue;183.69
287;633;2026-07-25;Pix;Entregue;55.17
288;622;2024-12-22;Cartao de Credito;Entregue com Atraso;137.95
289;862;2025-11-27;Pix;Entregue;135.42
290;1055;2026-03-22;Pix;Entregue;83.15
291;1196;2025-12-25;Cartao de Debito;Entregue;134.39
292;778;2024-10-05;Cartao de Credito;Entregue;145.11
293;1094;2024-08-31;Cartao de Debito;Entregue;311.0
294;813;2025-05-20;Cartao de Credito;Entregue com Atraso;321.76
295;1057;2026-05-07;Cartao de Debito;Entregue;88.76
296;754;2026-02-11;Boleto;Entregue;254.77
297;841;2025-07-27;Cartao de Credito;Em Transito;123.59
298;219;2025-03-25;Cartao de Credito;Entregue;88.13
299;462;2026-07-22;Cartao de Credito;Em Transito;23.74
300;1523;2026-04-18;Pix;Entregue;92.42
301;1674;2025-04-27;Pix;Entregue;34.42
302;254;2026-02-12;Boleto;Entregue;245.05
303;59;2024-10-12;Cartao de Debito;Entregue;142.43
304;59;2026-01-02;Cartao de Credito;Entregue;87.2
305;1374;2025-02-17;Pix;Em Transito;202.39
306;797;2025-10-12;Pix;Entregue;364.08
307;367;2025-10-22;Cartao de Debito;Entregue;18.07
308;1597;2026-02-01;Pix;Cancelado;15.0
309;100;2025-10-24;Cartao de Credito;Entregue;41.07
310;232;2025-09-12;Pix;Entregue;123.66
311;1246;2025-08-01;Boleto;Entregue com Atraso;98.9
312;540;2026-06-01;Cartao de Credito;Em Transito;222.92
313;1620;2026-07-24;Cartao de Debito;Entregue;55.98
314;423;2026-02-18;Cartao de Credito;Entregue;164.78
315;513;2025-08-29;Cartao de Credito;Cancelado;83.15
316;1536;2025-08-29;Pix;Entregue;41.5
317;568;2026-02-06;Boleto;Em Transito;238.24
318;1376;2024-09-28;Boleto;Entregue;451.23
319;1786;2025-04-01;Cartao de Credito;Entregue;254.47
320;462;2026-05-31;Boleto;Entregue;13.5
321;1512;2025-10-29;Pix;Entregue;189.19
322;143;2026-04-17;Pix;Cancelado;42.66
323;1552;2024-12-09;Cartao de Credito;Entregue;72.19
324;1266;2024-10-02;Cartao de Debito;Cancelado;352.53
325;1220;2024-10-13;Pix;Em Transito;18.28
326;1749;2026-05-30;Cartao de Credito;Cancelado;32.8
327;1670;2026-03-29;Cartao de Credito;Entregue;263.7
328;1178;2025-01-01;Cartao de Credito;Cancelado;157.61
329;1023;2026-03-12;Pix;Entregue com Atraso;81.46
330;941;2025-06-21;Cartao de Credito;Entregue com Atraso;45.59
331;1753;2025-03-25;Pix;Entregue com Atraso;54.11
332;760;2024-10-21;Cartao de Credito;Entregue;146.03
333;1059;2024-12-20;Pix;Entregue com Atraso;37.34
334;1767;2026-03-13;Pix;Em Transito;439.16
335;226;2025-04-27;Boleto;Entregue com Atraso;89.49
336;132;2026-01-10;Boleto;Em Transito;268.68
337;82;2025-07-30;Cartao de Debito;Em Transito;117.66
338;1273;2026-03-27;Cartao de Debito;Em Transito;20.34
339;1202;2025-11-08;Cartao de Credito;Entregue;158.71
340;1018;2026-01-20;Pix;Entregue com Atraso;16.45
341;1710;2024-09-12;Boleto;Entregue com Atraso;394.74
342;1094;2024-11-17;Cartao de Debito;Entregue;77.95
343;310;2026-04-05;Cartao de Debito;Cancelado;60.49
344;1687;2026-03-08;Pix;Entregue;19.9
345;1250;2024-12-01;Pix;Entregue;43.1
346;1202;2025-07-29;Boleto;Entregue com Atraso;65.67
347;507;2026-05-08;Pix;Entregue;17.65
348;801;2026-07-24;Boleto;Entregue;144.08
349;402;2025-02-17;Cartao de Credito;Entregue;132.39
350;803;2025-12-16;Pix;Entregue;28.86
351;1133;2025-03-29;Pix;Entregue;282.94
352;1412;2025-09-06;Pix;Entregue;12.75
353;1321;2025-05-22;Pix;Entregue;15.0
354;593;2024-11-25;Cartao de Credito;Entregue;57.02
355;874;2025-09-26;Pix;Entregue;64.31
356;111;2025-06-27;Cartao de Credito;Entregue;36.53
357;94;2025-12-11;Pix;Entregue;196.26
358;1101;2024-12-11;Pix;Entregue;196.79
359;995;2026-06-02;Cartao de Credito;Entregue;81.58
360;1643;2025-07-06;Pix;Entregue;19.02
361;1682;2024-11-13;Pix;Entregue com Atraso;24.99
362;1350;2025-04-11;Cartao de Credito;Entregue com Atraso;139.13
363;1330;2025-09-30;Cartao de Credito;Entregue com Atraso;93.02
364;1528;2025-06-28;Pix;Entregue com Atraso;19.9
365;1176;2025-11-26;Cartao de Credito;Entregue;70.97
366;1635;2026-01-29;Pix;Entregue;611.01
367;1131;2024-10-25;Cartao de Credito;Entregue;255.72
368;106;2025-12-19;Cartao de Credito;Entregue;55.17
369;1084;2024-08-06;Cartao de Credito;Entregue;295.79
370;860;2026-02-20;Boleto;Cancelado;193.43
371;226;2024-08-14;Cartao de Credito;Entregue com Atraso;73.06
372;1591;2025-12-21;Cartao de Credito;Entregue com Atraso;176.23
373;541;2026-06-24;Cartao de Credito;Entregue;135.21
374;614;2024-12-17;Cartao de Credito;Entregue com Atraso;113.67
375;1240;2025-02-21;Pix;Entregue;14.25
376;123;2026-05-14;Pix;Entregue;149.02
377;570;2026-05-02;Boleto;Em Transito;223.53
378;333;2026-03-01;Cartao de Credito;Entregue com Atraso;73.19
379;1431;2026-04-23;Pix;Entregue;21.1
380;1670;2026-04-22;Cartao de Credito;Entregue;207.59
381;1327;2025-04-04;Pix;Entregue;55.11
382;588;2024-10-20;Boleto;Entregue com Atraso;419.46
383;332;2025-08-10;Boleto;Entregue com Atraso;14.25
384;1796;2025-02-12;Cartao de Credito;Entregue;119.36
385;905;2024-08-14;Pix;Entregue;28.73
386;1245;2025-05-08;Pix;Cancelado;277.45
387;975;2024-11-15;Cartao de Credito;Entregue;243.34
388;971;2025-02-15;Pix;Entregue com Atraso;53.36
389;1257;2026-03-24;Pix;Entregue;13.5
390;1202;2024-10-06;Cartao de Credito;Entregue com Atraso;34.49
391;505;2025-02-20;Pix;Entregue;73.52
392;1490;2024-10-28;Pix;Entregue;47.45
393;590;2026-05-04;Cartao de Debito;Entregue com Atraso;114.62
394;1543;2024-12-14;Cartao de Credito;Entregue;48.55
395;413;2025-02-09;Cartao de Credito;Entregue;319.44
396;1033;2026-07-21;Pix;Entregue;94.04
397;496;2026-01-08;Boleto;Entregue;130.89
398;1062;2025-08-17;Pix;Entregue;246.74
399;299;2026-02-11;Cartao de Credito;Entregue;100.98
400;859;2025-09-15;Cartao de Credito;Cancelado;279.48
401;301;2025-01-18;Cartao de Debito;Em Transito;340.54
402;266;2025-01-24;Cartao de Credito;Entregue;74.05
403;279;2026-02-20;Boleto;Entregue;176.55
404;1202;2025-11-18;Pix;Entregue com Atraso;25.52
405;733;2025-07-01;Boleto;Entregue com Atraso;157.29
406;333;2025-03-29;Cartao de Credito;Entregue;151.36
407;172;2025-08-29;Pix;Entregue;48.76
408;483;2025-10-06;Cartao de Credito;Entregue;477.06
409;744;2024-08-13;Cartao de Credito;Entregue;63.25
410;94;2025-10-10;Cartao de Credito;Entregue;99.87
411;966;2025-08-09;Cartao de Credito;Entregue;68.49
412;269;2025-07-12;Cartao de Debito;Entregue com Atraso;111.4
413;825;2024-09-19;Pix;Entregue;86.0
414;968;2025-01-31;Cartao de Credito;Entregue;34.8
415;650;2024-09-07;Pix;Entregue;20.15
416;1137;2025-10-16;Boleto;Entregue;208.28
417;1034;2024-09-11;Cartao de Credito;Entregue;12.75
418;692;2024-10-20;Cartao de Credito;Entregue;20.7
419;470;2026-05-31;Pix;Entregue;123.46
420;1327;2025-10-22;Cartao de Credito;Entregue;46.62
421;1640;2026-06-26;Cartao de Credito;Entregue;21.1
422;492;2026-04-06;Boleto;Entregue;15.0
423;119;2025-05-22;Pix;Entregue;48.25
424;626;2025-06-24;Cartao de Credito;Entregue;168.17
425;59;2026-03-09;Cartao de Debito;Entregue;231.73
426;583;2026-06-22;Pix;Entregue;335.89
427;525;2025-12-16;Cartao de Debito;Entregue;338.69
428;200;2025-05-24;Cartao de Credito;Entregue;90.87
429;193;2026-07-05;Cartao de Debito;Entregue com Atraso;21.21
430;742;2025-11-19;Cartao de Credito;Em Transito;15.0
431;962;2025-07-09;Boleto;Entregue;81.8
432;56;2025-03-18;Cartao de Credito;Entregue;297.07
433;1539;2025-01-13;Pix;Entregue com Atraso;156.14
434;603;2025-05-28;Cartao de Credito;Entregue;70.56
435;825;2026-05-19;Cartao de Credito;Entregue;85.82
436;1269;2024-10-11;Cartao de Credito;Entregue;139.56
437;481;2026-02-02;Cartao de Credito;Entregue com Atraso;167.77
438;730;2024-09-10;Cartao de Credito;Entregue com Atraso;62.2
439;1468;2024-11-23;Pix;Entregue;132.1
440;1229;2025-11-13;Boleto;Entregue;20.26
441;614;2025-11-05;Pix;Entregue;116.47
442;661;2025-05-26;Cartao de Credito;Entregue com Atraso;69.36
443;228;2026-04-15;Cartao de Credito;Entregue;47.8
444;1267;2026-01-12;Pix;Entregue;148.47
445;901;2026-01-18;Cartao de Credito;Em Transito;48.71
446;1699;2025-07-17;Cartao de Credito;Entregue;104.47
447;1171;2025-08-01;Pix;Entregue;110.54
448;1298;2025-08-08;Pix;Entregue;110.19
449;1726;2026-02-02;Boleto;Cancelado;15.0
450;1413;2025-02-04;Pix;Entregue;20.76
451;1758;2025-04-30;Pix;Entregue;131.78
452;238;2025-06-07;Cartao de Credito;Entregue;110.71
453;1141;2025-02-18;Pix;Entregue;254.31
454;797;2024-11-23;Pix;Entregue;78.05
455;751;2025-05-05;Pix;Entregue;225.87
456;505;2026-02-26;Pix;Entregue;45.0
457;593;2026-01-04;Pix;Entregue;23.85
458;1534;2025-07-17;Pix;Entregue;90.89
459;572;2025-06-09;Cartao de Credito;Entregue;73.26
460;1202;2025-06-28;Cartao de Credito;Entregue com Atraso;240.2
461;1279;2025-03-23;Cartao de Debito;Entregue;159.27
462;1331;2024-08-06;Boleto;Entregue;617.27
463;1007;2025-02-21;Boleto;Entregue;48.55
464;607;2025-12-05;Cartao de Debito;Entregue;234.7
465;507;2025-08-14;Pix;Entregue;195.8
466;1562;2026-03-27;Cartao de Credito;Entregue;50.66
467;1187;2026-02-22;Pix;Entregue;46.15
468;1237;2025-06-18;Cartao de Debito;Entregue;246.9
469;468;2024-08-24;Cartao de Credito;Entregue;15.0
470;952;2026-01-07;Cartao de Credito;Entregue;135.78
471;1522;2026-03-11;Cartao de Debito;Entregue;227.04
472;1295;2025-10-17;Boleto;Entregue;84.12
473;410;2025-10-12;Cartao de Credito;Entregue com Atraso;42.24
474;1661;2026-03-14;Cartao de Credito;Entregue com Atraso;219.58
475;1693;2024-09-10;Boleto;Entregue;147.1
476;248;2025-10-25;Cartao de Credito;Cancelado;14.25
477;690;2025-11-01;Pix;Entregue;191.06
478;226;2025-12-14;Pix;Entregue;204.73
479;573;2024-10-06;Pix;Entregue com Atraso;46.21
480;711;2025-11-26;Cartao de Credito;Cancelado;37.55
481;937;2024-12-22;Pix;Entregue com Atraso;28.4
482;540;2026-04-25;Pix;Entregue;42.15
483;1434;2026-06-16;Cartao de Credito;Em Transito;35.69
484;741;2025-08-18;Cartao de Debito;Entregue;21.1
485;838;2024-12-26;Cartao de Debito;Entregue;15.0
486;184;2025-07-24;Boleto;Entregue;397.65
487;1719;2026-06-16;Pix;Entregue;214.98
488;1266;2025-05-17;Boleto;Entregue;219.58
489;1258;2025-11-17;Pix;Entregue;136.23
490;1051;2024-09-05;Pix;Entregue com Atraso;105.04
491;438;2025-09-11;Cartao de Credito;Entregue;174.24
492;390;2026-04-29;Cartao de Credito;Entregue;222.9
493;984;2026-06-11;Cartao de Credito;Entregue com Atraso;103.28
494;202;2026-02-15;Pix;Entregue;112.65
495;150;2025-12-30;Cartao de Credito;Entregue com Atraso;195.54
496;85;2026-01-28;Cartao de Credito;Entregue;267.9
497;1100;2025-02-24;Cartao de Credito;Cancelado;506.92
